freq,indic_il,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MED_E,EUR,ED0-2,F,Y_GE18,PT	: 	6555 	6859 	6869 	7134 	7571 	7722 	7932 	7706 	7670 	7462 	7023 	7187 	7408 	7719 	7924 	8562 	9078 	9190 	9355 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,RO	: 	: 	: 	: 	1130 	1461 	1656 	1597 	1608 	1582 	1577 	1600 	1834 	1886 	1931 	2176 	2488 	2706 	3059 	3934 	4367 
A,MED_E,EUR,ED0-2,F,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1909 	1803 	1705 	1776 	1828 	1978 	2328 	2613 	2830 	3165 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,SE	: 	13360 	14484 	15783 	16363 	15053 b	14776 	13920 	15467 	17297 	18172 	19951 	18705 	18140 	18836 	18956 	17488 	18089 	18460 	19089 	19511 
A,MED_E,EUR,ED0-2,F,Y_GE18,SI	: 	: 	7146 	7510 	7875 	8554 	9468 	8995 	9288 	9297 	8734 	9056 	9150 	9079 	9496 	9799 	10424 	10843 	11395 	11951 	12672 
A,MED_E,EUR,ED0-2,F,Y_GE18,SK	: 	: 	2346 	2698 	3097 	3719 	4501 	4936 	5208 	5339 	5601 	5645 	5687 	5847 	5846 	6086 	6193 	6673 	6656 	7084 	7624 
A,MED_E,EUR,ED0-2,F,Y_GE18,TR	: 	: 	: 	2539 	2845 	3084 	3200 	2906 	3470 	3357 	3582 	3317 	3188 	3463 	3570 	3264 	2857 	2920 	2584 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,UK	: 	: 	13795 	14297 	15570 	13566 	12599 	13156 	13293 	15139 b	14659 	16661 	17203 	17209 	15690 b	16360 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1859 	: 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1664 	1819 	2064 	2257 	2258 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,AT	12641 	13990 	14684 	14036 	14532 	14887 b	15762 	15720 	16425 	17303 	17827 	18556 	19038 	19574 	20256 	20455 	21050 	21556 	22608 	23187 	23765 
A,MED_E,EUR,ED0-2,F,Y_GE65,BE	11363 	11784 	12004 	12123 	12531 	12771 	13651 	13961 	14283 	14355 	15195 	15635 	15610 	15917 	16200 	16542 	17536 b	17645 	18550 	18516 	20134 
A,MED_E,EUR,ED0-2,F,Y_GE65,BG	: 	: 	: 	1082 	1094 	1402 	1654 	1918 	1801 	1824 	1936 	2342 	1988 	2032 b	2093 	2162 	2463 	2467 	2894 	2989 	4300 
A,MED_E,EUR,ED0-2,F,Y_GE65,CH	: 	: 	: 	: 	18707 	17738 	18229 	20259 	21871 	24818 	26092 	25317 b	25292 	28441 	29256 	27731 	25253 	27609 	29884 	29203 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,CY	: 	: 	7418 	8214 	8932 	9386 b	9733 	9988 	10685 	11186 	11237 	9943 	9961 	10161 	10222 	10502 	10890 	11343 	11426 	11933 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,CZ	: 	: 	3443 	3867 	4376 	4739 	5700 	5649 	5938 	6263 	6187 	6034 	5767 	6024 	6074 	6431 	6962 	7449 	7899 	8390 	9623 
A,MED_E,EUR,ED0-2,F,Y_GE65,DE	: 	: 	14412 	13760 	14251 	14845 	15379 	15754 	15747 	15762 	15917 	15711 	16155 	16553 	17259 	17489 	18546 	20103 b	18941 	18991 	19906 
A,MED_E,EUR,ED0-2,F,Y_GE65,DK	14571 	14885 	15541 	15856 	16034 	16703 	16946 	17944 	18785 b	19016 	19757 	20326 	20536 	20727 	21561 	21853 	22267 	22833 	23658 	24656 	25052 
A,MED_E,EUR,ED0-2,F,Y_GE65,EA	: 	: 	: 	: 	: 	13750 e	14133 e	14430 e	14410 e	14676 e	14819 e	14323 e	14292 e	14690 e	15058 e	15244 e	15476 	16196 b	16144 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EA18	: 	: 	11787 	11880 	12337 	13538 	14042 	14340 	14351 	14619 	14763 	14323 	14367 	14759 	15129 	15312 	15539 	16249 b	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EA19	: 	: 	11693 	11791 	12235 	13436 	13932 	14228 	14233 	14505 	14656 	14241 	14292 	14690 	15058 	15244 	15476 	16196 b	16144 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14181 	14143 	14542 	14914 	15101 	15337 	16062 	16029 	16182 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EE	: 	1747 	2070 	2409 	2792 	3136 	3760 	3927 	3914 	4001 	4314 	4391 b	4639 	4875 	5092 	5462 	5994 	6699 	7007 	7506 	7901 
A,MED_E,EUR,ED0-2,F,Y_GE65,EL	6367 	6876 	7420 	7941 	8400 	9313 	9630 	9900 	8652 	8700 	8000 	7020 	7050 	7067 	7095 	7150 	7256 	7636 	7547 	7904 	8150 
A,MED_E,EUR,ED0-2,F,Y_GE65,ES	: 	7813 	8134 	8560 	9600 	11803 b	12912 	12808 	12645 	12960 	12962 	12464 	12272 	12524 	12740 	12670 	13195 	14242 	14311 	14818 	16054 
A,MED_E,EUR,ED0-2,F,Y_GE65,EU	: 	: 	: 	: 	: 	11756 e	12089 e	12265 e	12482 e	12841 e	12921 e	13076 e	13105 e	13435 e	13436 e	13784 e	14027 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EU27_2007	: 	: 	10249 e	10482 e	10825 	11756 	12089 	12344 	12581 	12932 	13012 	13165 	13200 	13530 	13535 	13879 	14119 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EU27_2020	: 	: 	: 	: 	: 	: 	: 	12208 e	12422 e	12556 e	12726 e	12549 e	12570 e	12935 e	13331 e	13567 e	13828 e	14555 b	14647 	14939 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,EU28	: 	: 	: 	: 	: 	: 	: 	12265 	12482 	12841 	12921 	13076 	13105 	13435 	13436 	13784 	14027 e	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,FI	: 	12103 	12365 	12596 	12959 	13185 	14030 	15169 	15243 	15602 	16622 	16903 	17351 	17739 	17837 	17811 	17894 	18370 	18501 	18264 	19121 
A,MED_E,EUR,ED0-2,F,Y_GE65,FR	: 	12712 	13213 	13252 	14549 	16213 	16631 	17031 	17558 b	17972 	18471 	18380 	18581 	18894 	19297 	19440 	19077 	19137 b	18928 	19035 b	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,HR	: 	: 	: 	: 	: 	: 	: 	3924 	3710 	3746 	3697 	3800 	3772 	3918 	4142 	4287 	4551 	4853 	4796 	5069 	5578 b
A,MED_E,EUR,ED0-2,F,Y_GE65,HU	: 	: 	3191 	3238 	3424 	3979 	4226 	3824 	3838 	3924 	3937 	3971 	3887 	4020 	4145 	4337 	4549 	4802 	4965 	5459 	5014 
A,MED_E,EUR,ED0-2,F,Y_GE65,IE	10275 	11001 	12021 	13151 	14585 	16079 	16366 	16647 	16203 	15736 	16129 	16231 	16617 	16531 	16884 	17494 	18054 	19464 b	19722 	19000 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,IS	: 	16712 	17844 	21547 	21390 	24380 	18471 	16003 	15778 	16188 	16834 	17951 	19990 	22824 	26401 	33225 	32526 	: 	: 	: 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,IT	: 	11487 	11748 	12134 	12370 	12958 	13181 	13692 	13729 	14077 	14226 	14378 	14293 	14868 	15217 	15494 	15366 	15720 	15851 	15737 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,LT	: 	: 	1542 	1748 	2137 	2659 	3248 	3361 	3162 	3162 	3400 	3351 	3447 	3608 	3590 	3904 	4780 	5263 	5939 	5824 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,LU	24977 	26317 	27301 	28306 	28165 	29397 	30761 	31881 	31452 	32091 	34126 	34183 	34339 	35847 b	37276 	36955 	39822 	41796 b	41956 b	40546 b	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,LV	: 	: 	1468 	1610 	2065 	2370 	2860 	3269 	3265 	3241 	3296 	3341 	3512 	3717 	3714 	4057 	4017 	4644 	4850 	5138 	5944 
A,MED_E,EUR,ED0-2,F,Y_GE65,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2894 	2800 	2784 	2856 	3000 	3300 	3505 	3415 	3321 	3726 	: 
A,MED_E,EUR,ED0-2,F,Y_GE65,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	1744 	1763 	1815 	1941 	1983 	2227 	2348 	2439 	2792 	: 	: 	: 
